token_a,token_b,similarity_before,similarity_after,change
the,for,-0.04973012170496631,0.15988429990400094,0.20961442160896726
the,`,0.06886438971380768,0.2512666409921507,0.182402251278343
the,_,0.03835781058302799,0.1515446460910096,0.1131868355079816
the,X,0.08042061826666042,0.15888576483334169,0.07846514656668127
the,self,-0.013339990618246204,0.11960905999570111,0.13294905061394732
the,a,0.026375993567951873,0.27853178732751466,0.25215579375956276
the,from,0.004899632797304863,0.11017551627353284,0.10527588347622797
the,is,0.06722092090246773,0.34226195440999485,0.2750410335075271
the,2,0.16501014748473847,0.25616627340501985,0.09115612592028138
the,def,-0.03936680032011435,0.11106933094794885,0.1504361312680632
the,],0.11223320043216267,0.1858296367103538,0.07359643627819112
the,,-0.07168713959592637,-0.056683663478038084,0.015003476117888291
the,and,0.15409548166852158,0.3900972719654558,0.23600179029693422
the,):,0.29434927534644617,0.34989327571864554,0.055544000372199365
the,',0.14135978483250433,0.3096139751111477,0.16825419027864336
the,s,-0.010791322901024882,0.16120694525463755,0.17199826815566244
the,np,0.17600319393709654,0.2672021033177701,0.09119890938067357
the,if,-0.04405518939779842,0.15320717199947584,0.19726236139727427
the,@,-0.21723665327283115,-0.0639316403705442,0.15330501290228693
the,assert,0.054621886195472626,0.18509149588031915,0.13046960968484653
the,import,-0.009093558950652676,0.10345477949467931,0.11254833844533199
the,*,0.005745930345705058,0.11304404645241467,0.10729811610670961
the,{,0.013048587475302461,0.15257447913972594,0.13952589166442347
the,pytest,0.0165944560571311,0.1460214739289311,0.1294270178718
the,"""""""",-0.027747427377757445,0.1957621582154935,0.22350958559325096
the,==,0.06578409926242296,0.18373664007903154,0.11795254081660858
the,y,-0.13179146957613558,-0.004193351003856611,0.12759811857227896
the,3,-0.04836283331015154,0.12197326690331713,0.17033610021346868
the,(#,0.014873348113890506,0.14722251222429025,0.13234916411039974
the,with,0.09318276352860996,0.333943565957849,0.24076080242923906
the,(),0.23444529437962383,0.31731634139900833,0.0828710470193845
#,/,0.10507488815451065,0.2051896302260032,0.10011474207149255
#,0,0.023312867346920094,0.17495865864338436,0.15164579129646427
#,1,-0.07598156691660461,0.08162167521121193,0.15760324212781654
#,[,0.04398688109760484,0.19377214966714917,0.14978526856954433
#,""",",-0.03402056814367486,0.0996151876334279,0.13363575577710277
#,""":",0.21119896585593706,0.2491002295588486,0.03790126370291155
#,in,0.09493694993102962,0.22407238095118195,0.12913543102015235
#,to,-0.05711418338793573,0.17143172120267383,0.22854590459060956
#,of,-0.11183092899396715,0.16685480381343343,0.2786857328074006
#,for,-0.15541797921302192,0.03336186044410269,0.1887798396571246
#,`,0.06101427706841304,0.1711561146311245,0.11014183756271148
#,_,-0.13483947359906986,0.041906902343014696,0.17674637594208456
#,X,0.024622528613054938,0.15921478173625925,0.1345922531232043
#,self,-0.0020189193351744764,0.1367683798840462,0.13878729921922067
#,a,0.06270076032825828,0.2722587881771997,0.2095580278489414
#,from,0.11220272788814746,0.35649033572878397,0.24428760784063652
#,is,-0.08692531091675272,0.1439778066537701,0.23090311757052284
#,2,0.04972053373881837,0.21457278189042375,0.16485224815160537
#,def,0.06720107608437646,0.22800883866753419,0.1608077625831577
#,],0.12366299625793437,0.23045222299023335,0.10678922673229899
#,,-0.08707082470671516,-0.07273376725245707,0.01433705745425809
#,and,0.01525772910353913,0.2207713628311165,0.2055136337275774
